2026-03-12,15.20,15.05,15.29,14.93,112559,170761542.19,2.37,-0.99,-0.15,1.54
2026-03-13,14.97,14.88,15.11,14.85,91402,137785809.08,1.73,-1.13,-0.17,1.25
2026-03-16,14.85,14.96,14.96,14.56,117226,174649606.00,2.69,0.54,0.08,1.60
2026-03-17,15.04,15.19,15.86,15.02,245528,382970922.78,5.61,1.54,0.23,3.35
2026-03-18,15.16,15.02,15.36,14.80,149039,224664860.60,3.69,-1.12,-0.17,2.04
2026-03-19,14.82,14.78,14.99,14.68,99171,148089957.68,2.06,-1.60,-0.24,1.35
2026-03-20,14.82,14.50,15.03,14.40,114219,169150657.59,4.26,-1.89,-0.28,1.56
2026-03-23,14.15,13.73,14.41,13.65,169796,239755444.25,5.24,-5.31,-0.77,2.32
2026-03-24,14.00,13.90,14.15,13.47,176188,243550936.05,4.95,1.24,0.17,2.41
2026-03-25,13.91,14.21,14.22,13.91,105886,150468762.31,2.23,2.23,0.31,1.45
2026-03-26,14.25,14.10,14.38,14.03,93627,133804455.24,2.46,-0.77,-0.11,1.28
2026-03-27,13.95,14.29,14.31,13.87,83309,118609260.00,3.12,1.35,0.19,1.14
2026-03-30,14.09,14.05,14.28,13.88,120667,170618233.16,2.80,-1.68,-0.24,1.65
2026-03-31,13.70,13.08,13.73,13.03,300727,400670017.24,4.98,-6.90,-0.97,4.11
2026-04-01,13.60,13.47,13.69,13.18,222548,300337713.58,3.90,2.98,0.39,3.04
2026-04-02,13.50,13.40,13.65,13.28,149467,202005126.61,2.75,-0.52,-0.07,2.04
2026-04-03,13.43,13.25,13.56,13.14,95763,128535365.21,3.13,-1.12,-0.15,1.31
2026-04-07,13.33,13.63,13.68,13.22,156327,213250039.48,3.47,2.87,0.38,2.14
2026-04-08,13.90,14.05,14.06,13.80,154859,217660169.00,1.91,3.08,0.42,2.12
2026-04-09,13.90,13.90,14.01,13.83,97740,136872649.63,1.28,-1.07,-0.15,1.33
2026-04-10,13.99,14.07,14.29,13.92,104152,148451782.00,2.66,1.22,0.17,1.42
2026-04-13,14.11,14.23,14.39,13.96,131178,187562861.00,3.06,1.14,0.16,1.79
2026-04-14,14.29,13.97,14.33,13.90,127749,180947535.96,3.02,-1.83,-0.26,1.74
2026-04-15,14.09,14.08,14.48,14.01,142369,203897295.11,3.36,0.79,0.11,1.94
2026-04-16,14.16,14.26,14.55,14.02,129141,184894987.46,3.76,1.28,0.18,1.76
2026-04-17,14.15,14.04,14.20,13.93,138205,195150187.36,1.89,-1.54,-0.22,1.89
2026-04-20,14.04,14.13,14.25,13.96,120915,172491906.63,2.07,0.64,0.09,1.65
2026-04-21,14.14,13.81,14.14,13.63,134632,186898796.94,3.61,-2.26,-0.32,1.84
2026-04-22,13.80,13.88,13.97,13.64,115718,161093834.89,2.39,0.51,0.07,1.58
2026-04-23,13.83,13.64,13.89,13.55,107735,148197941.00,2.45,-1.73,-0.24,1.47
2026-04-24,13.60,13.72,13.87,13.44,122040,168323575.86,3.15,0.59,0.08,1.67
2026-04-27,13.56,13.91,14.42,13.55,222419,315691220.92,6.34,1.38,0.19,3.04
2026-04-28,13.92,13.23,13.92,13.12,200366,269925263.80,5.75,-4.89,-0.68,2.74
2026-04-29,13.06,13.12,13.28,12.81,189947,249011678.00,3.55,-0.83,-0.11,2.59
2026-04-30,13.84,13.19,14.08,13.13,403663,545048175.52,7.24,0.53,0.07,5.51
2026-05-06,13.32,12.97,13.35,12.82,334234,438152191.07,4.02,-1.67,-0.22,4.56
2026-05-07,13.03,12.91,13.03,12.62,242210,313346197.34,3.16,-0.46,-0.06,3.31
2026-05-08,12.90,13.32,13.41,12.78,258361,342816291.71,4.88,3.18,0.41,3.53
2026-05-11,13.33,13.05,13.34,12.95,241312,317360598.17,2.93,-2.03,-0.27,3.30
2026-05-12,13.06,13.19,13.36,12.85,254249,335746540.35,3.91,1.07,0.14,3.47
2026-05-13,13.10,13.50,13.74,12.95,320925,433576124.18,5.99,2.35,0.31,4.38
2026-05-14,13.60,12.90,13.60,12.86,264397,349546503.28,5.48,-4.44,-0.60,3.61
2026-05-15,12.90,12.85,13.24,12.65,230764,300185669.83,4.57,-0.39,-0.05,3.15
2026-05-18,12.78,12.61,12.80,12.33,174363,221978909.05,3.66,-1.87,-0.24,2.38
2026-05-19,12.64,12.42,12.73,12.26,157811,197571482.52,3.73,-1.51,-0.19,2.16
2026-05-20,12.40,12.29,12.40,12.12,148434,183449550.04,2.25,-1.05,-0.13,2.03
2026-05-21,12.29,12.99,13.40,12.29,450734,588810924.93,9.03,5.70,0.70,6.16
2026-05-22,13.06,12.95,13.13,12.62,257034,333036707.48,3.93,-0.31,-0.04,3.51
2026-05-25,12.90,12.62,13.00,12.61,199262,256350706.67,3.01,-2.55,-0.33,2.72
2026-05-26,12.58,12.56,12.86,12.35,193047,244856019.90,4.04,-0.48,-0.06,2.64
2026-05-27,12.52,12.16,12.73,12.08,184600,228816749.64,5.18,-3.18,-0.40,2.52
2026-05-28,12.16,12.02,12.16,11.71,158471,190150283.76,3.70,-1.15,-0.14,2.16
2026-05-29,12.02,11.47,12.14,11.39,170011,199466163.57,6.24,-4.58,-0.55,2.32
2026-06-01,11.40,11.41,11.67,11.36,160412,186067148.62,2.70,-0.52,-0.06,2.19
2026-06-02,11.40,11.37,11.51,11.18,128322,146445431.10,2.89,-0.35,-0.04,1.75
2026-06-03,11.37,11.35,11.48,11.20,121453,138905737.00,2.46,-0.18,-0.02,1.66
2026-06-04,11.25,11.36,11.55,11.21,124931,143708041.54,3.00,0.09,0.01,1.71
2026-06-05,11.41,11.37,11.67,11.13,166920,192223638.26,4.75,0.09,0.01,2.28
2026-06-08,11.16,10.86,11.23,10.72,183760,203455721.24,4.49,-4.49,-0.51,2.51
2026-06-09,10.92,10.87,10.98,10.71,105928,115792096.98,2.49,0.09,0.01,1.45
2026-06-10,10.77,10.49,10.82,10.43,108903,116292683.06,3.59,-3.50,-0.38,1.49
2026-06-11,10.43,10.30,10.55,10.19,105989,110215186.92,3.43,-1.81,-0.19,1.45
2026-06-12,10.50,10.54,10.64,10.37,116937,123211930.52,2.62,2.33,0.24,1.60
2026-06-15,10.67,10.88,11.15,10.65,166167,180843067.05,4.74,3.23,0.34,2.27
2026-06-16,10.80,10.84,10.96,10.65,118110,127477024.94,2.85,-0.37,-0.04,1.61
2026-06-17,10.78,10.77,10.99,10.60,111107,119813262.27,3.60,-0.65,-0.07,1.52
2026-06-18,10.73,10.54,10.83,10.49,113069,119969074.57,3.16,-2.14,-0.23,1.54
2026-06-22,10.52,10.30,10.54,9.97,188673,191295357.84,5.41,-2.28,-0.24,2.58
2026-06-23,10.29,10.06,10.46,10.02,153815,157545372.18,4.27,-2.33,-0.24,2.10
2026-06-24,10.06,9.91,10.25,9.89,127003,126874424.60,3.58,-1.49,-0.15,1.73
2026-06-25,9.88,9.57,9.91,9.56,161576,156455347.55,3.53,-3.43,-0.34,2.21
2026-06-26,9.56,9.24,9.61,9.23,141384,132608745.00,3.97,-3.45,-0.33,1.93
